SORT BY CUDA TIME
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         5.47%      77.468ms        14.50%     205.414ms       7.294us     113.481ms        52.88%     113.521ms       4.031us           0 b    -937.50 Kb           0 b           0 b         28162  
                                               aten::to         1.52%      21.537ms        25.86%     366.433ms      12.842us       0.000us         0.00%     112.921ms       3.958us     285.12 Kb           0 b      18.88 Gb           0 b         28533  
                                         aten::_to_copy         4.48%      63.451ms        24.34%     344.895ms      12.358us       0.000us         0.00%     112.921ms       4.046us     285.12 Kb           0 b      18.88 Gb           0 b         27909  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     103.871ms        48.40%     103.871ms       4.525us           0 b           0 b           0 b           0 b         22953  
                                           aten::linear         2.57%      36.367ms        27.12%     384.254ms      38.673us       0.000us         0.00%      29.891ms       3.008us           0 b           0 b     344.59 Mb           0 b          9936  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      27.758ms        12.94%      27.758ms       2.863us           0 b           0 b           0 b           0 b          9696  
                                            aten::addmm        12.37%     175.238ms        19.39%     274.715ms      31.664us      26.661ms        12.42%      26.661ms       3.073us           0 b           0 b     273.91 Mb     273.91 Mb          8676  
                     aten::scaled_dot_product_attention         0.94%      13.339ms         9.22%     130.593ms      52.957us       0.000us         0.00%      22.464ms       9.109us       1.07 Kb     -36.39 Kb      30.13 Mb      -2.06 Mb          2466  
              aten::_scaled_dot_product_flash_attention         0.99%      14.056ms         8.28%     117.254ms      47.548us       0.000us         0.00%      22.464ms       9.109us      38.53 Kb           0 b      32.19 Mb           0 b          2466  
