SORT BY CUDA TIME
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         7.03%     289.933ms        19.44%     801.599ms       7.257us     661.003ms        60.64%     661.046ms       5.984us           0 b    -937.50 Kb           0 b           0 b        110466  
                                               aten::to         2.00%      82.313ms        34.16%        1.409s      12.723us       0.000us         0.00%     658.024ms       5.942us     291.62 Kb           0 b     168.07 Gb           0 b        110745  
                                         aten::_to_copy         5.61%     231.305ms        32.17%        1.327s      12.050us       0.000us         0.00%     658.024ms       5.977us     291.62 Kb           0 b     168.07 Gb           0 b        110097  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     624.674ms        57.31%     624.674ms       6.689us           0 b           0 b           0 b           0 b         93393  
                                           aten::linear         3.35%     138.006ms        27.28%        1.125s      27.255us       0.000us         0.00%     183.942ms       4.456us           0 b           0 b       2.44 Gb           0 b         41280  
                                            aten::addmm        12.01%     495.437ms        16.76%     691.038ms      19.170us     166.093ms        15.24%     166.093ms       4.608us           0 b           0 b       2.01 Gb       2.01 Gb         36048  
                     aten::scaled_dot_product_attention         1.21%      50.098ms        11.79%     486.182ms      47.442us       0.000us         0.00%     109.046ms      10.641us       6.28 Kb    -147.56 Kb     242.16 Mb     -11.91 Mb         10248  
              aten::_scaled_dot_product_flash_attention         1.24%      51.188ms        10.57%     436.084ms      42.553us       0.000us         0.00%     109.046ms      10.641us     160.12 Kb           0 b     254.06 Mb           0 b         10248  
                         aten::_flash_attention_forward         2.79%     114.944ms         8.03%     331.327ms      32.331us     109.046ms        10.00%     109.046ms      10.641us     160.12 Kb       8.11 Kb     254.06 Mb    -190.86 Mb         10248  
