SORT BY CUDA TIME
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         6.72%     157.964ms        17.62%     414.396ms       7.427us     264.075ms        55.46%     264.114ms       4.733us           0 b    -937.50 Kb           0 b           0 b         55798  
                                               aten::to         1.83%      42.953ms        31.05%     730.467ms      13.010us       0.000us         0.00%     262.755ms       4.680us     289.97 Kb           0 b      55.58 Gb           0 b         56145  
                                         aten::_to_copy         5.43%     127.819ms        29.23%     687.515ms      12.387us       0.000us         0.00%     262.755ms       4.734us     289.97 Kb           0 b      55.58 Gb           0 b         55503  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     245.717ms        51.61%     245.717ms       5.274us           0 b           0 b           0 b           0 b         46587  
                                           aten::linear         3.23%      75.902ms        26.66%     627.224ms      30.674us       0.000us         0.00%      81.740ms       3.997us           0 b           0 b     978.36 Mb           0 b         20448  
                                            aten::addmm        11.80%     277.475ms        17.02%     400.276ms      22.417us      73.042ms        15.34%      73.042ms       4.091us           0 b           0 b     807.91 Mb     807.91 Mb         17856  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      62.169ms        13.06%      62.169ms       4.094us           0 b           0 b           0 b           0 b         15184  
                     aten::scaled_dot_product_attention         1.13%      26.487ms        11.36%     267.183ms      52.636us       0.000us         0.00%      50.186ms       9.887us       2.23 Kb     -74.86 Kb      90.70 Mb      -5.07 Mb          5076  
              aten::_scaled_dot_product_flash_attention         1.37%      32.158ms        10.23%     240.695ms      47.418us       0.000us         0.00%      50.186ms       9.887us      79.31 Kb           0 b      95.77 Mb           0 b          5076  
